
Wed Sep  1 11:47:06 2021
41.19	0.018330	0.547101	0.035471	0.010784	0.066886	0.018573	0.018585	0.584167	0.036025	71
31.49	0.027965	0.589412	0.053396	0.014897	0.236176	0.028025	0.028044	0.673623	0.053847	73
24.90	0.034736	0.578884	0.065539	0.016569	0.182232	0.030376	0.035000	0.670164	0.066525	67
19.83	0.042680	0.566415	0.079378	0.015894	0.145501	0.028657	0.043130	0.662955	0.080991	56
15.32	0.054420	0.558053	0.099169	0.010464	0.109286	0.019100	0.054937	0.659552	0.101426	47
12.11	0.067877	0.550213	0.120846	0.010254	0.094998	0.018509	0.068348	0.654429	0.123769	40
9.72	0.083353	0.542298	0.144497	0.013526	0.072993	0.022823	0.084484	0.647679	0.149470	33
6.74	0.117107	0.528560	0.191734	0.009561	0.040052	0.015436	0.121647	0.636522	0.204258	24
3.92	0.194460	0.509520	0.281489	0.009760	0.032569	0.015020	0.212937	0.620475	0.317063	20
2.22	0.319803	0.475920	0.382547	0.009396	0.022756	0.013300	0.371810	0.591552	0.456620	16
1.42	0.468652	0.444262	0.456131	0.009565	0.015783	0.011911	0.522277	0.564831	0.542721	14
1.10	0.580368	0.428657	0.493107	0.009521	0.012206	0.010697	0.604243	0.552661	0.577302	11
1.02	0.622319	0.426790	0.506334	0.009471	0.011171	0.010251	0.630314	0.551378	0.588209	7
1.01	0.636112	0.428507	0.512068	0.010141	0.011008	0.010557	0.638514	0.553405	0.592921	7
1.00	0.643303	0.431046	0.516207	0.008096	0.011009	0.009331	0.643590	0.556863	0.597094	5
1.00	0.648778	0.434182	0.520218	0.008967	0.011089	0.009916	0.648778	0.561270	0.601860	4
1.00	0.651233	0.435825	0.522186	0.007372	0.011122	0.008866	0.651233	0.563669	0.604295	4
1.00	0.653911	0.437617	0.524333	0.007381	0.011167	0.008888	0.653911	0.566179	0.606891	2
1.00	0.655919	0.438961	0.525944	0.007385	0.011202	0.008901	0.655919	0.568188	0.608909	2
1.00	0.657034	0.439707	0.526838	0.007389	0.011221	0.008910	0.657034	0.569303	0.610031	2
1.00	0.657927	0.440305	0.527554	0.007392	0.011236	0.008918	0.657927	0.570196	0.610928	1
1.00	0.657927	0.440305	0.527554	0.007392	0.011236	0.008918	0.657927	0.570196	0.610928	1
1.00	0.657927	0.440305	0.527554	0.007392	0.011236	0.008918	0.657927	0.570196	0.610928	1
1.00	0.657927	0.440305	0.527554	0.007392	0.011236	0.008918	0.657927	0.570196	0.610928	1
1.00	0.657927	0.440305	0.527554	0.007392	0.011236	0.008918	0.657927	0.570196	0.610928	1
1.00	0.657927	0.440305	0.527554	0.007392	0.011236	0.008918	0.657927	0.570196	0.610928	1
1.00	0.657927	0.440305	0.527554	0.007392	0.011236	0.008918	0.657927	0.570196	0.610928	1
1.00	0.657927	0.440305	0.527554	0.007392	0.011236	0.008918	0.657927	0.570196	0.610928	1
1.00	0.657927	0.440305	0.527554	0.007392	0.011236	0.008918	0.657927	0.570196	0.610928	1
1.00	0.657927	0.440305	0.527554	0.007392	0.011236	0.008918	0.657927	0.570196	0.610928	1
1.00	0.657927	0.440305	0.527554	0.007392	0.011236	0.008918	0.657927	0.570196	0.610928	1
